,id,latitud,longitud,dia,date,kilometro,velocidad,tiempo,costo
0,1,0.321869,-78.209348,4,2021-08-26T21:34:01.127+00:00,12.858,41.476,0.767,4.9
1,2,0.362384,-78.191308,7,2021-08-29T15:25:48.002+00:00,12.012,33.833,0.765,4.9
2,3,0.277116,-78.238205,5,2021-09-17T10:55:14.951+00:00,0.589,12.362,0.04,1.25
3,4,0.268882,-78.230785,5,2021-09-17T11:44:58.891+00:00,1.29,24.485,0.101,1.25
4,5,0.24799,-78.271613,6,2021-09-18T10:42:18.046+00:00,2.644,18.914,0.139,1.25
5,6,0.235781,-78.266152,6,2021-09-18T11:35:36.193+00:00,1.285,15.738,0.114,1.25
6,7,0.235921,-78.254992,7,2021-09-19T15:09:12.205+00:00,1.797,28.427,0.131,1.25
7,8,0.245861,-78.253822,7,2021-09-19T15:37:30.316+00:00,1.402,20.897,0.117,1.25
8,9,0.235014,-78.259252,7,2021-09-19T15:40:07.577+00:00,1.227,41.395,0.109,1.25
9,10,0.229356,-78.26827,7,2021-09-19T15:42:55.181+00:00,0.793,20.913,0.092,1.25
10,11,0.226684,-78.2666,7,2021-09-19T15:46:57.004+00:00,1.091,20.142,0.104,1.25
11,12,0.231974,-78.258325,7,2021-09-19T15:52:21.58+00:00,1.799,30.889,0.126,1.25
12,13,0.243185,-78.24244,7,2021-09-19T15:55:56.455+00:00,0.015,1.411,0.017,1.25
13,14,0.241072,-78.251605,7,2021-09-19T16:05:29.471+00:00,1.186,21.301,0.1,1.25
14,15,0.234425,-78.264007,7,2021-09-19T16:09:37.693+00:00,1.222,27.221,0.108,1.25
15,16,0.225567,-78.265605,1,2021-09-20T15:26:08.581+00:00,0.596,14.955,0.062,1.25
16,17,0.226712,-78.260773,2,2021-09-21T19:08:16.001+00:00,0.105,5.607,0.023,1.25
17,18,0.226002,-78.26203,2,2021-09-21T19:10:03.244+00:00,0.281,13.052,0.029,1.25
18,19,0.229425,-78.260797,2,2021-09-21T19:11:29.212+00:00,0.057,13.946,0.017,1.25
19,20,0.230366,-78.261197,2,2021-09-21T19:14:34.535+00:00,0.569,14.575,0.048,1.25
20,22,0.221021,-78.26455,2,2021-09-21T19:22:16.889+00:00,0.102,3.298,0.017,1.25
21,23,0.22571,-78.274385,3,2021-09-22T13:22:04.51+00:00,0.573,21.767,0.028,1.25
22,24,0.224699,-78.269478,3,2021-09-22T13:24:46.937+00:00,0.832,25.448,0.045,1.25
23,25,0.220243,-78.266855,3,2021-09-22T13:29:19.625+00:00,3.049,43.921,0.126,2.0
24,26,0.205592,-78.245562,3,2021-09-22T13:33:44.765+00:00,0.752,20.111,0.04,1.25
25,27,0.199422,-78.24043,3,2021-09-22T13:39:30.703+00:00,2.409,54.165,0.082,1.25
26,28,0.234302,-78.264958,3,2021-09-22T13:54:01.938+00:00,0.315,35.595,0.033,1.25
27,29,0.23308,-78.268158,3,2021-09-22T13:57:24.882+00:00,0.411,12.413,0.034,1.25
28,30,0.229731,-78.262545,3,2021-09-22T14:02:42.057+00:00,0.178,4.877,0.017,1.25
29,31,0.223195,-78.265207,3,2021-09-22T15:51:50.267+00:00,0.581,11.564,0.053,1.25
30,32,0.217912,-78.265442,4,2021-09-23T14:26:25.816+00:00,0.05,3.84,0.017,1.25
31,33,0.22942,-78.258787,4,2021-09-23T14:46:39.449+00:00,4.436,14.583,0.304,2.4
32,34,0.232235,-78.258852,4,2021-09-23T14:54:32.958+00:00,0.668,12.355,0.054,1.25
33,39,0.27736,-78.2384,3,2021-10-20T16:53:32.178+00:00,4.366,67.909,0.091,2.546258433896457
34,40,0.242926,-78.257738,3,2021-10-20T16:58:56.468+00:00,1.873,27.13,0.072,1.25
35,41,0.240234,-78.268263,3,2021-10-20T17:04:45.632+00:00,1.256,15.969,0.051,1.25
36,42,0.234013,-78.269155,3,2021-10-20T17:10:45.535+00:00,1.888,20.188,0.089,1.25
37,43,0.247021,-78.251012,3,2021-10-20T17:16:12.066+00:00,0.813,25.107,0.063,1.25
38,44,0.250254,-78.243708,3,2021-10-20T17:18:53.994+00:00,0.737,19.915,0.03,1.25
39,45,0.225303,-78.2605,3,2021-10-20T17:32:01.247+00:00,0.294,7.957,0.035,1.25
40,46,0.227127,-78.26346,3,2021-10-20T17:37:11.444+00:00,0.356,6.363,0.046,1.25
41,47,0.23002,-78.261577,3,2021-10-20T17:44:19.517+00:00,0.604,5.226,0.112,1.25
42,48,0.233853,-78.255808,3,2021-10-20T17:47:36.027+00:00,0.797,24.927,0.037,1.25
43,49,0.240446,-78.25237,3,2021-10-20T17:51:28.421+00:00,1.696,26.556,0.061,1.25
44,52,0.220233,-78.269257,4,2021-10-21T16:31:08.486+00:00,0.364,17.524,0.039,1.25
45,55,0.228979,-78.261252,4,2021-10-21T17:08:52.103+00:00,0.415,9.189,0.048,1.25
46,56,0.230548,-78.262017,4,2021-10-21T17:12:59.597+00:00,0.848,11.454,0.066,1.25
47,57,0.234987,-78.26402,4,2021-10-21T17:21:14.384+00:00,1.155,14.603,0.083,1.25
48,58,0.230328,-78.260293,4,2021-10-21T17:32:47.032+00:00,2.225,15.468,0.112,1.25
49,59,0.240879,-78.259582,4,2021-10-21T17:38:10.507+00:00,1.579,19.435,0.069,1.25
50,60,0.230561,-78.259978,4,2021-10-21T17:43:30.423+00:00,0.785,7.223,0.086,1.25
51,61,0.225387,-78.263868,4,2021-10-21T17:47:56.743+00:00,0.698,7.697,0.073,1.25
52,62,0.22717,-78.261545,4,2021-10-21T17:56:00.674+00:00,1.172,9.968,0.067,1.25
53,63,0.230899,-78.25763,4,2021-10-21T18:04:10.496+00:00,4.727,27.857,0.126,2.6906788765191503
